,twitter_link,text,date,likes,comments
72,https://twitter.com/Not_the_Bee/status/1772340172673179913#m,"French bill would outlaw gender procedures on kids, calling them ""one of the greatest ethical scandals in the history of medicine"" https://notthebee.com/t1d67 https://notthebee.com/t1d67","Mar 25, 2024 · 7:10 PM UTC",9733,527
73,https://twitter.com/elonmusk/status/1772473543852233012#m,Fake news that’s truer than the “real” news 😂,"Mar 26, 2024 · 3:59 AM UTC",120038,7363
74,https://twitter.com/elonmusk/status/1772465339147624680#m,Found this in my fortune cookie tonight,"Mar 26, 2024 · 3:27 AM UTC",477561,19442
75,https://twitter.com/SpaceX/status/1772410932393914461#m,Falcon 9’s first stage has landed on the A Shortfall of Gravitas droneship,"Mar 25, 2024 · 11:51 PM UTC",16560,875
76,https://twitter.com/SpaceX/status/1772372482214801754#m,Full-duration static fire of all six Raptor engines on Flight 4 Starship,"Mar 25, 2024 · 9:18 PM UTC",37315,1741
77,https://twitter.com/elonmusk/status/1772340262934622399#m,Just when you think reality can’t get more surreal 🤣🤣,"Mar 25, 2024 · 7:10 PM UTC",107836,5829
78,https://twitter.com/cb_doge/status/1772338281729962284#m,This platform will always fight for free speech.,"Mar 25, 2024 · 7:02 PM UTC",13320,1610
79,https://twitter.com/elonmusk/status/1772182969253298680#m,The circle will be complete,"Mar 25, 2024 · 8:45 AM UTC",131288,10415
80,https://twitter.com/elonmusk/status/1772180825305489440#m,,"Mar 25, 2024 · 8:36 AM UTC",649871,17249
81,https://twitter.com/elonmusk/status/1772036884937552117#m,"If in doubt, always listen to @JohnCleese! https://youtu.be/HLNhPMQnWu4?si=5cRhjMM0gvvwgZGx","Mar 24, 2024 · 11:04 PM UTC",32618,3955
82,https://twitter.com/elonmusk/status/1771989308007920045#m,Bye bye 😘,"Mar 24, 2024 · 7:55 PM UTC",245579,18160
83,https://twitter.com/elonmusk/status/1771934645380100570#m,"Everyone, yes everyone, is far right! 😂","Mar 24, 2024 · 4:18 PM UTC",269561,13663
84,https://twitter.com/elonmusk/status/1771928653686771863#m,In support of your right to speak,"Mar 24, 2024 · 3:54 PM UTC",94429,5286
85,https://twitter.com/elonmusk/status/1771768276965617748#m,fyi,"Mar 24, 2024 · 5:17 AM UTC",64918,4770
86,https://twitter.com/neuralink/status/1771651493445124102#m,We aim to build the future of brain-computer interfaces. Want to create the future with us?  Apply to openings on our career page: neuralink.com/careers  Apply to join our Patient Registry: neuralink.com/patient-regist…,"Mar 23, 2024 · 9:33 PM UTC",8698,757
87,https://twitter.com/SpaceX/status/1771738384178032990#m,"Falcon 9 has landed on Just Read the Instructions, completing this booster's 19th mission and the 75th landing on this droneship","Mar 24, 2024 · 3:18 AM UTC",18881,1086
88,https://twitter.com/elonmusk/status/1771748156432068640#m,Yup,"Mar 24, 2024 · 3:57 AM UTC",111484,4196
89,https://twitter.com/elonmusk/status/1771634823452401805#m,"Yeah, US immigration is completely backwards: trivial to enter illegally and nightmarishly difficult to enter legally!  I strongly support increasing and expediting legal immigration.","Mar 23, 2024 · 8:27 PM UTC",102446,7682
90,https://twitter.com/elonmusk/status/1771622119715000357#m,Please forward links to 𝕏 posts to your friends so they know what’s actually happening.   Some people still believe the legacy media!,"Mar 23, 2024 · 7:36 PM UTC",184942,19462
91,https://twitter.com/elonmusk/status/1771621308503052444#m,Also insane!,"Mar 23, 2024 · 7:33 PM UTC",162713,6303
92,https://twitter.com/elonmusk/status/1771620284686066011#m,This is insane!,"Mar 23, 2024 · 7:29 PM UTC",304549,21403
93,https://twitter.com/elonmusk/status/1771619139112542227#m,Werner Herzog makes a great point  https://youtu.be/G_7Ta_4coy4?si=ipR_k9MGjNlNkoEZ,"Mar 23, 2024 · 7:24 PM UTC",17702,2112
94,https://twitter.com/elonmusk/status/1771608627968614605#m,Pin your best content and it will receive far more views,"Mar 23, 2024 · 6:43 PM UTC",24988,3591
95,https://twitter.com/elonmusk/status/1771593053372829702#m,Your home is no longer your home in many states,"Mar 23, 2024 · 5:41 PM UTC",145300,11958
96,https://twitter.com/elonmusk/status/1771591171476791659#m,Ironic,"Mar 23, 2024 · 5:33 PM UTC",30431,2078
97,https://twitter.com/elonmusk/status/1771590516552949837#m,Reality vs perception is very different,"Mar 23, 2024 · 5:31 PM UTC",169373,8561
98,https://twitter.com/elonmusk/status/1771589970358042899#m,😂😂,"Mar 23, 2024 · 5:28 PM UTC",215298,4676
99,https://twitter.com/elonmusk/status/1771589496934486491#m,Correct,"Mar 23, 2024 · 5:27 PM UTC",42297,2004
